listing_number,title,price,location,description,bedrooms,bathrooms,parking_spaces,erf_size
115409217,2 Bedroom House,1450000,Costa Da Gama,"2 Bedroom House for sale in Costa Da Gama - Cape TownBank Mandated Property.

Why Buyers Buy Properties on the EasySell Programme:

EasySell is a private sale programme, designed to ",2,1,1,200
115622394,2 Bedroom Apartment,2300000,Wynberg Upper,"2 Bedroom Apartment / flat for sale in Wynberg Upper - Cape TownThis newly built, 2nd floor apartment features 2 bedrooms, 2 bathrooms, and an 8sqm ",2,2,2,85
115622368,2 Bedroom Townhouse,1499000,Muizenberg,"2 Bedroom Townhouse for sale in Muizenberg - Cape TownWelcome to your perfect seaside retreat!
Nestled in the tranquil and secure estate of ",2,1,3,83
115622323,Commercial Property,5850000,Gardens,Commercial property for sale in Gardens - Cape Town4 Dorman is in great location being a 30 second walk to Kloof street and a 2 minute walk ,,,,160
115622221,3 Bedroom Apartment,27999000,Bakoven,"3 Bedroom Apartment / flat for sale in Bakoven - Cape TownNestled in the heart of Bali Bay, Bakoven, directly opposite the ultra exclusive Bali Beach, 2 spectacular duplex penthouses offering ",3,3,2,272
115622109,4 Bedroom House,4500000,Zeekoevlei,"4 Bedroom House for sale in Zeekoevlei - Cape TownNewly released unique, desirable property in a prime location on the highly sought-after Zeekoevlei Peninsula. This waterfront home ",4,3,4,675
115621963,2 Bedroom Apartment,11700000,Gardens,"2 Bedroom Apartment / flat for sale in Gardens - Cape Town?Apartments of this scale, calibre, and architectural refinement are a rarity in Cape Town’s City Bowl. Whether you’re seeking a ",2,3,2,227
115621880,2 Bedroom Townhouse,1299000,Ottery,"2 Bedroom Townhouse for sale in Ottery - Cape TownSituated in the sought-after Devon Place complex in Ottery, this well-maintained townhouse offers a blend of comfort, style, and ",2,1,2,150
115621617,3 Bedroom House,2655000,Maitland,"3 Bedroom House for sale in Maitland - Cape TownThis neat and spacious main house has been recently tiled and features 3 well-sized bedrooms, a fully fitted kitchen with built-in ",3,1,6,679
114429952,1 Bedroom Apartment,950000,Southfield,"1 Bedroom Apartment / flat for sale in Southfield - Cape TownWelcome to our sole mandate! 

Great investment property with high rental yield or perfect first time home. 

This spacious ",1,1,1,51
115621611,1 Bedroom Apartment,450000,Wynberg,"1 Bedroom Apartment / flat for sale in Wynberg - Cape TownSOLE MANDATE

This new release is for potential property investors and first-time home buyers! 

The apartment boasts several ",1,1,1,33
115621422,0.5 Bedroom Apartment,2450000,Sea Point,"0.5 Bedroom Apartment / flat for sale in Sea Point - Cape TownPERFECT FOR AIRBNB
Welcome to your new oasis in our beautiful city. 

KEY FEATURES
Fully renovated and experience contemporary living ",0.5,1,,43
115621264,2 Bedroom House,1450000,Costa Da Gama,"2 Bedroom House for sale in Costa Da Gama - Cape TownBank Mandated Property.

Why Buyers Buy Properties on the EasySell Programme:

EasySell is a private sale programme, designed to ",2,1,1,200
115620362,3 Bedroom House,1650000,Retreat,"3 Bedroom House for sale in Retreat - Cape TownStep into this stylish and well-maintained 3-bedroom home, where modern design meets everyday comfort. Boasting a spacious open-plan ",3,2,3,250
111067861,3 Bedroom Apartment,6500000,Camps Bay,"3 Bedroom Apartment / flat for sale in Camps Bay - Cape TownThis beautifully renovated and neat three bedroom, two bathroom apartment is 127 square meters and enjoys secure, unobstructed views ",3,2,1,127
115588129,Surdo Prop,2150000,Kenilworth Upper,"2 Bedroom Apartment / flat for sale in Kenilworth Upper - Cape TownLocated adjacent to the heart of highly sought-after Kenilworth Upper, this delightful 2-bedroom, 1-bathroom apartment offers a blend of convenience, comfort, and charm for first time home-owners, investors or ",2,1,2,103
115464081,Veliciae Luxury Real Estate,17350000,Camps Bay,"8 Bedroom House for sale in Camps Bay - Cape TownPrice Excludes VAT - VAT Applicable 

Tucked away in a peaceful street in St Fillians, just off Geneva Drive, this property offers the best of Camps Bay living. It’s a short walk to the main strip, giving you easy access to the ",8,8,5,970
115595636,ATCB Real Estate,2600000,Belhar,"6 Bedroom House for sale in Belhar - Cape Townscroll down for VIDEO 
This exceptional property, located in the sought-after area of Old Belhar, offers the perfect blend of comfort, style, and outdoor living. Situated on a generous 829m² plot, this home is ideal for a ",6,3,6,829
115591010,Constantia Valley Estates,1495000,Muizenberg,"3 Bedroom Townhouse for sale in Muizenberg - Cape TownThis charming three-bedroom townhouse, located in the sought-after Santiago Bay complex within Capricorn Beach Estate, offers lovely sea and mountain views. The estate provides 24-hour manned security, communal swimming pools and ",3,1,2,78
115436802,We Trade Property - Cape Town,4900000,Rondebosch East,"4 Bedroom House for sale in Rondebosch East - Cape TownNestled at the tranquil end of a quiet cul-de-sac, this exceptional home offers unparalleled privacy with no opposite neighbours. Enjoy the convenience of proximity to top-rated schools, vibrant shopping malls, and major ",4,2,2,535
115512894,Imagine Properties,895000,Diep River,"1 Bedroom Apartment / flat for sale in Diep River - Cape TownPriced to sell quick - One of the most sought after complexes in Diep River. The stunning family friendly complex offers a communal swimming pool and tennis courts. Safety is a priority with 24 hr security guards.

Located on the ",1,1,1,41
115460568,Sotheby's International Realty - Atlantic Seaboard & City Bowl,3250000,Cape Town City Centre,"1 Bedroom Apartment / flat for sale in Cape Town City Centre - Cape TownThis beautifully renovated corner unit in a modern Cape Town high-rise offers the perfect blend of sophistication and urban living. Natural light floods the open-plan living area through floor-to-ceiling windows, highlighting the ",1,1,2,83
